Date_Time,Product_cat,product_code,product_name,units,amount
1/7/2020 6:05,Vegetables,25,Potato,14,1722
1/7/2020 8:05,Drinks,15,Soup,77,10164
1/7/2020 10:05,Vegetables,25,Potato,57,7011
1/7/2020 12:05,Snacks,16,Crackers,27,1539
1/7/2020 14:05,Vegetables,24,Tomato,96,14112
1/7/2020 16:05,Drinks,15,Soup,91,12012
1/7/2020 18:05,Dairy Product,2,Milk,27,5130
1/7/2020 20:05,Grocery,3,Fresh Bread & Rolls,19,3401
1/7/2020 22:05,Drinks,5,Beer/Ale/Alcoholic Cider,66,3432
1/8/2020 0:05,Grocery,19,Coffee,57,10602
1/8/2020 2:05,Drinks,15,Soup,13,1716
1/8/2020 4:05,Vegetables,26,Watermelon,65,14755
1/8/2020 6:05,Dairy Product,2,Milk,68,12920
1/8/2020 8:05,Drinks,12,Rfg Juices/Drinks,66,14322
1/8/2020 10:05,Snacks,10,Cigarettes,27,6345
1/8/2020 12:05,Meat products,20,Luncheon Meats,7,329
1/8/2020 14:05,Snacks,1,Carbonated Beverages,35,1435
1/8/2020 16:05,Snacks,1,Carbonated Beverages,5,205
1/8/2020 18:05,Grocery,3,Fresh Bread & Rolls,75,13425
1/8/2020 20:05,Drinks,7,Wine,38,10868
1/8/2020 22:05,Dairy Product,13,Ice Cream/Sherbet,13,273
1/9/2020 0:05,Dairy Product,11,Yogurt,34,7616
1/9/2020 2:05,Grocery,9,Cold Cereal,77,21483
1/9/2020 4:05,Meat products,21,Breakfast Meats,62,6138
1/9/2020 6:05,Drinks,18,Bottled Juices,32,6816
1/9/2020 8:05,Snacks,23,Total Chocolate Candy,29,6090
1/9/2020 10:05,Meat products,21,Breakfast Meats,93,9207
1/9/2020 12:05,Meat products,22,Rfg Fresh Eggs,62,13826
1/9/2020 14:05,Vegetables,26,Watermelon,11,2497
1/9/2020 16:05,Snacks,1,Carbonated Beverages,18,738
1/9/2020 18:04,Vegetables,27,Onion,12,1212
1/9/2020 20:04,Snacks,4,Salty Snacks,83,6723
1/9/2020 22:04,Vegetables,24,Tomato,92,13524
1/10/2020 0:04,Vegetables,26,Watermelon,4,908
1/10/2020 2:04,Dairy Product,11,Yogurt,34,7616
1/10/2020 4:04,Drinks,15,Soup,8,1056
1/10/2020 6:04,Grocery,19,Coffee,83,15438
1/10/2020 8:04,Grocery,8,Fz Dinners/Entrees,41,11726
1/10/2020 10:04,Dairy Product,2,Milk,77,14630
1/10/2020 12:04,Drinks,12,Rfg Juices/Drinks,56,12152
1/10/2020 14:04,Dairy Product,11,Yogurt,12,2688
1/10/2020 16:04,Vegetables,27,Onion,68,6868
1/10/2020 18:04,Snacks,23,Total Chocolate Candy,7,1470
1/10/2020 20:04,Drinks,15,Soup,99,13068
1/10/2020 22:04,Grocery,19,Coffee,14,2604
1/11/2020 0:04,Snacks,4,Salty Snacks,24,1944
1/11/2020 2:04,Snacks,16,Crackers,55,3135
1/11/2020 4:04,Drinks,7,Wine,81,23166
1/11/2020 6:04,Dairy Product,11,Yogurt,2,448
1/11/2020 8:04,Snacks,23,Total Chocolate Candy,79,16590
1/11/2020 10:04,Dairy Product,2,Milk,12,2280
1/11/2020 12:04,Dairy Product,11,Yogurt,52,11648
1/11/2020 14:04,Snacks,23,Total Chocolate Candy,90,18900
1/11/2020 16:04,Snacks,23,Total Chocolate Candy,70,14700
1/11/2020 18:04,Dairy Product,11,Yogurt,9,2016
1/11/2020 20:04,Drinks,7,Wine,100,28600
1/11/2020 22:04,Snacks,16,Crackers,26,1482
1/12/2020 0:04,Meat products,21,Breakfast Meats,35,3465
1/12/2020 2:04,Snacks,16,Crackers,95,5415
1/12/2020 4:04,Drinks,7,Wine,3,858
1/12/2020 6:04,Snacks,4,Salty Snacks,65,5265
1/12/2020 8:04,Meat products,22,Rfg Fresh Eggs,79,17617
1/12/2020 10:04,Grocery,9,Cold Cereal,94,26226
1/12/2020 12:04,Dairy Product,11,Yogurt,86,19264
1/12/2020 14:04,Grocery,9,Cold Cereal,88,24552
1/12/2020 16:04,Dairy Product,11,Yogurt,12,2688
1/12/2020 18:04,Dairy Product,6,Natural Cheese,54,13500
1/12/2020 20:04,Vegetables,27,Onion,96,9696
1/12/2020 22:04,Snacks,23,Total Chocolate Candy,87,18270
1/13/2020 0:04,Dairy Product,11,Yogurt,87,19488
1/13/2020 2:04,Dairy Product,6,Natural Cheese,15,3750
1/13/2020 4:04,Vegetables,26,Watermelon,46,10442
1/13/2020 6:04,Vegetables,25,Potato,88,10824
1/13/2020 8:04,Snacks,16,Crackers,19,1083
1/13/2020 10:04,Drinks,5,Beer/Ale/Alcoholic Cider,37,1924
1/13/2020 12:04,Drinks,15,Soup,42,5544
1/13/2020 14:04,Dairy Product,6,Natural Cheese,67,16750
1/13/2020 16:04,Dairy Product,13,Ice Cream/Sherbet,94,1974
1/13/2020 18:04,Drinks,15,Soup,8,1056
1/13/2020 20:04,Snacks,17,Cookies,64,10688
1/13/2020 22:04,Snacks,4,Salty Snacks,77,6237
1/14/2020 0:04,Snacks,16,Crackers,50,2850
1/14/2020 2:04,Drinks,18,Bottled Juices,56,11928
1/14/2020 4:04,Snacks,4,Salty Snacks,80,6480
1/14/2020 6:04,Dairy Product,2,Milk,58,11020
1/14/2020 8:04,Snacks,17,Cookies,61,10187
1/14/2020 10:04,Grocery,9,Cold Cereal,97,27063
1/14/2020 12:04,Dairy Product,2,Milk,24,4560
1/14/2020 14:04,Snacks,1,Carbonated Beverages,75,3075
1/14/2020 16:04,Meat products,22,Rfg Fresh Eggs,82,18286
1/14/2020 18:04,Meat products,20,Luncheon Meats,40,1880
1/14/2020 20:04,Snacks,4,Salty Snacks,45,3645
1/14/2020 22:04,Drinks,15,Soup,88,11616
1/15/2020 0:04,Drinks,14,Bottled Water,96,16896
1/15/2020 2:04,Drinks,15,Soup,12,1584
1/15/2020 4:04,Snacks,4,Salty Snacks,79,6399
1/15/2020 6:04,Meat products,22,Rfg Fresh Eggs,37,8251
1/15/2020 8:04,Meat products,20,Luncheon Meats,100,4700
1/15/2020 10:04,Drinks,12,Rfg Juices/Drinks,87,18879
1/15/2020 12:04,Meat products,22,Rfg Fresh Eggs,49,10927
1/15/2020 14:04,Vegetables,24,Tomato,68,9996
1/15/2020 16:04,Meat products,22,Rfg Fresh Eggs,4,892
1/15/2020 18:04,Vegetables,27,Onion,84,8484
1/15/2020 20:04,Drinks,12,Rfg Juices/Drinks,89,19313
1/15/2020 22:04,Snacks,16,Crackers,60,3420
1/16/2020 0:04,Snacks,16,Crackers,45,2565
1/16/2020 2:04,Snacks,4,Salty Snacks,92,7452
1/16/2020 4:04,Snacks,16,Crackers,33,1881
1/16/2020 6:04,Vegetables,24,Tomato,1,147
1/16/2020 8:04,Dairy Product,11,Yogurt,71,15904
1/16/2020 10:04,Meat products,20,Luncheon Meats,57,2679
1/16/2020 12:04,Drinks,18,Bottled Juices,20,4260
1/16/2020 14:04,Snacks,4,Salty Snacks,98,7938
1/16/2020 16:04,Drinks,7,Wine,9,2574
1/16/2020 18:04,Snacks,17,Cookies,87,14529
1/16/2020 20:04,Snacks,17,Cookies,41,6847
1/16/2020 22:04,Drinks,5,Beer/Ale/Alcoholic Cider,73,3796
1/17/2020 0:04,Vegetables,25,Potato,15,1845
1/17/2020 2:04,Dairy Product,2,Milk,78,14820
1/17/2020 4:04,Meat products,21,Breakfast Meats,9,891
1/17/2020 6:04,Drinks,14,Bottled Water,72,12672
1/17/2020 8:04,Vegetables,25,Potato,83,10209
1/17/2020 10:04,Meat products,20,Luncheon Meats,63,2961
1/17/2020 12:04,Dairy Product,6,Natural Cheese,100,25000
1/17/2020 14:04,Vegetables,24,Tomato,17,2499
1/17/2020 16:04,Snacks,10,Cigarettes,4,940
1/17/2020 18:04,Vegetables,24,Tomato,94,13818
1/17/2020 20:04,Meat products,21,Breakfast Meats,74,7326
1/17/2020 22:04,Dairy Product,2,Milk,23,4370
1/18/2020 0:04,Snacks,23,Total Chocolate Candy,68,14280
1/18/2020 2:04,Dairy Product,2,Milk,26,4940
1/18/2020 4:04,Drinks,5,Beer/Ale/Alcoholic Cider,87,4524
1/18/2020 6:04,Grocery,3,Fresh Bread & Rolls,13,2327
1/18/2020 8:04,Dairy Product,2,Milk,58,11020
1/18/2020 10:04,Drinks,5,Beer/Ale/Alcoholic Cider,44,2288
1/18/2020 12:04,Meat products,22,Rfg Fresh Eggs,26,5798
1/18/2020 14:04,Snacks,17,Cookies,9,1503
1/18/2020 16:04,Snacks,10,Cigarettes,74,17390
1/18/2020 18:04,Grocery,19,Coffee,62,11532
1/18/2020 20:04,Drinks,18,Bottled Juices,43,9159
1/18/2020 22:04,Snacks,1,Carbonated Beverages,81,3321
1/19/2020 0:04,Snacks,4,Salty Snacks,48,3888
1/19/2020 2:04,Vegetables,25,Potato,19,2337
1/19/2020 4:04,Grocery,3,Fresh Bread & Rolls,14,2506
1/19/2020 6:04,Snacks,10,Cigarettes,85,19975
1/19/2020 8:04,Dairy Product,11,Yogurt,97,21728
1/19/2020 10:04,Drinks,5,Beer/Ale/Alcoholic Cider,27,1404
1/19/2020 12:04,Drinks,15,Soup,48,6336
1/19/2020 14:04,Snacks,23,Total Chocolate Candy,1,210
1/19/2020 16:04,Snacks,16,Crackers,16,912
1/19/2020 18:04,Meat products,20,Luncheon Meats,86,4042
1/19/2020 20:04,Drinks,12,Rfg Juices/Drinks,63,13671
1/19/2020 22:04,Drinks,14,Bottled Water,91,16016
1/20/2020 0:04,Dairy Product,6,Natural Cheese,27,6750
1/20/2020 2:04,Grocery,9,Cold Cereal,74,20646
1/20/2020 4:04,Snacks,1,Carbonated Beverages,88,3608
1/20/2020 6:04,Drinks,5,Beer/Ale/Alcoholic Cider,41,2132
1/20/2020 8:04,Meat products,20,Luncheon Meats,64,3008
1/20/2020 10:04,Drinks,5,Beer/Ale/Alcoholic Cider,77,4004
1/20/2020 12:04,Dairy Product,11,Yogurt,51,11424
1/20/2020 14:04,Meat products,21,Breakfast Meats,71,7029
1/20/2020 16:04,Grocery,9,Cold Cereal,10,2790
1/20/2020 18:04,Dairy Product,13,Ice Cream/Sherbet,53,1113
1/20/2020 20:04,Dairy Product,13,Ice Cream/Sherbet,43,903
1/20/2020 22:04,Drinks,12,Rfg Juices/Drinks,48,10416
1/21/2020 0:04,Vegetables,25,Potato,96,11808
1/21/2020 2:04,Meat products,22,Rfg Fresh Eggs,57,12711
1/21/2020 4:04,Drinks,7,Wine,24,6864
1/21/2020 6:04,Meat products,20,Luncheon Meats,53,2491
1/21/2020 8:04,Drinks,14,Bottled Water,90,15840
1/21/2020 10:04,Drinks,5,Beer/Ale/Alcoholic Cider,93,4836
1/21/2020 12:04,Snacks,16,Crackers,84,4788
1/21/2020 14:04,Drinks,15,Soup,39,5148
1/21/2020 16:04,Snacks,1,Carbonated Beverages,98,4018
1/21/2020 18:04,Dairy Product,2,Milk,44,8360
1/21/2020 20:04,Snacks,10,Cigarettes,42,9870
1/21/2020 22:04,Meat products,20,Luncheon Meats,52,2444
1/22/2020 0:04,Snacks,1,Carbonated Beverages,14,574
1/22/2020 2:04,Grocery,9,Cold Cereal,94,26226
1/22/2020 4:04,Meat products,21,Breakfast Meats,71,7029
1/22/2020 6:04,Grocery,3,Fresh Bread & Rolls,61,10919
1/22/2020 8:04,Snacks,10,Cigarettes,56,13160
1/22/2020 10:04,Drinks,5,Beer/Ale/Alcoholic Cider,71,3692
1/22/2020 12:04,Grocery,9,Cold Cereal,23,6417
1/22/2020 14:04,Snacks,10,Cigarettes,69,16215
1/22/2020 16:04,Snacks,16,Crackers,19,1083
1/22/2020 18:04,Drinks,14,Bottled Water,62,10912
1/22/2020 20:04,Dairy Product,6,Natural Cheese,24,6000
1/22/2020 22:04,Meat products,20,Luncheon Meats,26,1222
1/23/2020 0:04,Drinks,15,Soup,43,5676
1/23/2020 2:04,Grocery,3,Fresh Bread & Rolls,27,4833
1/23/2020 4:04,Snacks,23,Total Chocolate Candy,25,5250
1/23/2020 6:04,Grocery,19,Coffee,34,6324
1/23/2020 8:04,Drinks,7,Wine,88,25168
1/23/2020 10:04,Snacks,17,Cookies,4,668
1/23/2020 12:04,Snacks,17,Cookies,50,8350
1/23/2020 14:04,Snacks,10,Cigarettes,11,2585
1/23/2020 16:04,Meat products,20,Luncheon Meats,81,3807
1/23/2020 18:04,Meat products,20,Luncheon Meats,63,2961
1/23/2020 20:04,Snacks,4,Salty Snacks,85,6885
1/23/2020 22:04,Grocery,8,Fz Dinners/Entrees,92,26312
1/24/2020 0:04,Drinks,12,Rfg Juices/Drinks,88,19096
1/24/2020 2:04,Snacks,16,Crackers,44,2508
1/24/2020 4:04,Snacks,23,Total Chocolate Candy,81,17010
1/24/2020 6:04,Snacks,23,Total Chocolate Candy,45,9450
1/24/2020 8:04,Dairy Product,6,Natural Cheese,72,18000
1/24/2020 10:04,Meat products,22,Rfg Fresh Eggs,45,10035
1/24/2020 12:04,Snacks,23,Total Chocolate Candy,49,10290
1/24/2020 14:04,Drinks,14,Bottled Water,81,14256
1/24/2020 16:04,Dairy Product,2,Milk,46,8740
1/24/2020 18:04,Meat products,20,Luncheon Meats,8,376
1/24/2020 20:04,Snacks,23,Total Chocolate Candy,44,9240
1/24/2020 22:04,Meat products,21,Breakfast Meats,33,3267
1/25/2020 0:04,Meat products,20,Luncheon Meats,59,2773
1/25/2020 2:04,Snacks,10,Cigarettes,64,15040
1/25/2020 4:04,Snacks,17,Cookies,92,15364
1/25/2020 6:04,Grocery,8,Fz Dinners/Entrees,40,11440
1/25/2020 8:04,Drinks,14,Bottled Water,76,13376
1/25/2020 10:04,Meat products,20,Luncheon Meats,33,1551
1/25/2020 12:04,Drinks,12,Rfg Juices/Drinks,66,14322
1/25/2020 14:04,Grocery,9,Cold Cereal,67,18693
1/25/2020 16:04,Snacks,23,Total Chocolate Candy,44,9240
1/25/2020 18:04,Vegetables,24,Tomato,22,3234
1/25/2020 20:04,Snacks,4,Salty Snacks,33,2673
1/25/2020 22:04,Snacks,16,Crackers,54,3078
1/26/2020 0:04,Grocery,8,Fz Dinners/Entrees,28,8008
1/26/2020 2:04,Drinks,5,Beer/Ale/Alcoholic Cider,94,4888
1/26/2020 4:04,Snacks,10,Cigarettes,28,6580
1/26/2020 6:04,Drinks,7,Wine,49,14014
1/26/2020 8:04,Drinks,15,Soup,59,7788
1/26/2020 10:04,Snacks,1,Carbonated Beverages,71,2911
1/26/2020 12:04,Snacks,10,Cigarettes,56,13160
1/26/2020 14:04,Snacks,10,Cigarettes,95,22325
1/26/2020 16:04,Drinks,5,Beer/Ale/Alcoholic Cider,47,2444
1/26/2020 18:04,Drinks,14,Bottled Water,46,8096
1/26/2020 20:04,Meat products,20,Luncheon Meats,36,1692
1/26/2020 22:04,Snacks,4,Salty Snacks,58,4698
1/27/2020 0:04,Meat products,20,Luncheon Meats,32,1504
1/27/2020 2:04,Snacks,10,Cigarettes,67,15745
1/27/2020 4:04,Grocery,3,Fresh Bread & Rolls,32,5728
1/27/2020 6:04,Drinks,12,Rfg Juices/Drinks,98,21266
1/27/2020 8:04,Vegetables,26,Watermelon,44,9988
1/27/2020 10:04,Meat products,20,Luncheon Meats,35,1645
1/27/2020 12:04,Drinks,12,Rfg Juices/Drinks,19,4123
1/27/2020 14:04,Snacks,1,Carbonated Beverages,16,656
1/27/2020 16:04,Snacks,1,Carbonated Beverages,33,1353
1/27/2020 18:04,Snacks,16,Crackers,10,570
1/27/2020 20:04,Dairy Product,6,Natural Cheese,84,21000
1/27/2020 22:04,Dairy Product,13,Ice Cream/Sherbet,13,273
1/28/2020 0:04,Vegetables,24,Tomato,32,4704
1/28/2020 2:04,Snacks,1,Carbonated Beverages,80,3280
1/28/2020 4:04,Snacks,4,Salty Snacks,85,6885
1/28/2020 6:04,Meat products,22,Rfg Fresh Eggs,5,1115
1/28/2020 8:04,Drinks,7,Wine,5,1430
1/28/2020 10:04,Vegetables,25,Potato,24,2952
1/28/2020 12:04,Meat products,22,Rfg Fresh Eggs,60,13380
1/28/2020 14:04,Meat products,20,Luncheon Meats,71,3337
1/28/2020 16:04,Grocery,19,Coffee,78,14508
1/28/2020 18:04,Meat products,21,Breakfast Meats,88,8712
1/28/2020 20:04,Drinks,18,Bottled Juices,18,3834
1/28/2020 22:04,Vegetables,26,Watermelon,36,8172
1/29/2020 0:04,Snacks,17,Cookies,46,7682
1/29/2020 2:04,Grocery,9,Cold Cereal,20,5580
1/29/2020 4:04,Grocery,3,Fresh Bread & Rolls,57,10203
1/29/2020 6:04,Snacks,4,Salty Snacks,34,2754
1/29/2020 8:04,Grocery,8,Fz Dinners/Entrees,66,18876
1/29/2020 10:04,Drinks,12,Rfg Juices/Drinks,86,18662
1/29/2020 12:04,Snacks,4,Salty Snacks,21,1701
1/29/2020 14:04,Snacks,16,Crackers,35,1995
1/29/2020 16:04,Drinks,15,Soup,9,1188
1/29/2020 18:04,Dairy Product,11,Yogurt,70,15680
1/29/2020 20:04,Grocery,19,Coffee,61,11346
1/29/2020 22:04,Drinks,14,Bottled Water,4,704
1/30/2020 0:04,Drinks,18,Bottled Juices,75,15975
1/30/2020 2:04,Dairy Product,13,Ice Cream/Sherbet,17,357
1/30/2020 4:04,Snacks,16,Crackers,68,3876
1/30/2020 6:04,Vegetables,25,Potato,35,4305
1/30/2020 8:04,Drinks,14,Bottled Water,39,6864
1/30/2020 10:04,Grocery,19,Coffee,23,4278
1/30/2020 12:04,Vegetables,24,Tomato,71,10437
1/30/2020 14:04,Drinks,5,Beer/Ale/Alcoholic Cider,84,4368
1/30/2020 16:04,Dairy Product,6,Natural Cheese,46,11500
1/30/2020 18:04,Meat products,20,Luncheon Meats,53,2491
1/30/2020 20:04,Dairy Product,6,Natural Cheese,71,17750
1/30/2020 22:04,Vegetables,25,Potato,13,1599
1/31/2020 0:04,Vegetables,24,Tomato,85,12495
1/31/2020 2:04,Dairy Product,6,Natural Cheese,24,6000
1/31/2020 4:04,Snacks,1,Carbonated Beverages,36,1476
1/31/2020 6:04,Meat products,20,Luncheon Meats,91,4277
1/31/2020 8:04,Snacks,1,Carbonated Beverages,82,3362
1/31/2020 10:04,Dairy Product,11,Yogurt,25,5600
1/31/2020 12:04,Meat products,20,Luncheon Meats,24,1128
1/31/2020 14:04,Meat products,22,Rfg Fresh Eggs,84,18732
1/31/2020 16:04,Vegetables,26,Watermelon,82,18614
1/31/2020 18:04,Vegetables,26,Watermelon,21,4767
1/31/2020 20:04,Snacks,23,Total Chocolate Candy,39,8190
1/31/2020 22:04,Drinks,15,Soup,54,7128
2/1/2020 0:04,Grocery,3,Fresh Bread & Rolls,66,11814
2/1/2020 2:04,Meat products,22,Rfg Fresh Eggs,65,14495
2/1/2020 4:04,Meat products,20,Luncheon Meats,34,1598
2/1/2020 6:04,Dairy Product,6,Natural Cheese,61,15250
2/1/2020 8:04,Dairy Product,13,Ice Cream/Sherbet,19,399
2/1/2020 10:04,Grocery,3,Fresh Bread & Rolls,56,10024
2/1/2020 12:04,Vegetables,26,Watermelon,79,17933
2/1/2020 14:04,Snacks,23,Total Chocolate Candy,49,10290
2/1/2020 16:04,Meat products,22,Rfg Fresh Eggs,51,11373
2/1/2020 18:04,Vegetables,25,Potato,43,5289
2/1/2020 20:04,Snacks,4,Salty Snacks,77,6237
2/1/2020 22:04,Dairy Product,11,Yogurt,38,8512
2/2/2020 0:04,Grocery,8,Fz Dinners/Entrees,95,27170
2/2/2020 2:04,Dairy Product,11,Yogurt,36,8064
2/2/2020 4:04,Snacks,16,Crackers,29,1653
2/2/2020 6:04,Snacks,17,Cookies,42,7014
2/2/2020 8:04,Snacks,23,Total Chocolate Candy,61,12810
2/2/2020 10:04,Dairy Product,11,Yogurt,4,896
2/2/2020 12:04,Grocery,8,Fz Dinners/Entrees,74,21164
2/2/2020 14:04,Vegetables,24,Tomato,81,11907
2/2/2020 16:04,Drinks,18,Bottled Juices,19,4047
2/2/2020 18:04,Meat products,21,Breakfast Meats,99,9801
2/2/2020 20:04,Drinks,7,Wine,91,26026
2/2/2020 22:04,Vegetables,24,Tomato,56,8232
2/3/2020 0:04,Meat products,21,Breakfast Meats,46,4554
2/3/2020 2:04,Snacks,1,Carbonated Beverages,92,3772
2/3/2020 4:04,Drinks,14,Bottled Water,27,4752
2/3/2020 6:04,Vegetables,27,Onion,22,2222
2/3/2020 8:04,Vegetables,24,Tomato,55,8085
2/3/2020 10:04,Meat products,22,Rfg Fresh Eggs,88,19624
2/3/2020 12:04,Grocery,19,Coffee,23,4278
2/3/2020 14:04,Snacks,23,Total Chocolate Candy,61,12810
2/3/2020 16:04,Snacks,10,Cigarettes,5,1175
2/3/2020 18:04,Vegetables,27,Onion,68,6868
2/3/2020 20:04,Grocery,9,Cold Cereal,51,14229
2/3/2020 22:04,Snacks,10,Cigarettes,14,3290
2/4/2020 0:04,Meat products,20,Luncheon Meats,41,1927
2/4/2020 2:04,Vegetables,27,Onion,50,5050
2/4/2020 4:04,Drinks,12,Rfg Juices/Drinks,16,3472
2/4/2020 6:04,Drinks,7,Wine,87,24882
2/4/2020 8:04,Vegetables,25,Potato,66,8118
2/4/2020 10:04,Vegetables,25,Potato,15,1845
2/4/2020 12:04,Meat products,22,Rfg Fresh Eggs,7,1561
2/4/2020 14:04,Drinks,5,Beer/Ale/Alcoholic Cider,14,728
2/4/2020 16:04,Vegetables,27,Onion,54,5454
2/4/2020 18:04,Grocery,3,Fresh Bread & Rolls,28,5012
2/4/2020 20:04,Snacks,4,Salty Snacks,13,1053
2/4/2020 22:04,Snacks,16,Crackers,58,3306
2/5/2020 0:04,Drinks,7,Wine,77,22022
2/5/2020 2:04,Drinks,5,Beer/Ale/Alcoholic Cider,16,832
2/5/2020 4:04,Dairy Product,13,Ice Cream/Sherbet,31,651
2/5/2020 6:04,Drinks,12,Rfg Juices/Drinks,57,12369
2/5/2020 8:04,Vegetables,25,Potato,72,8856
2/5/2020 10:04,Dairy Product,11,Yogurt,97,21728
2/5/2020 12:04,Drinks,7,Wine,50,14300
2/5/2020 14:04,Snacks,1,Carbonated Beverages,52,2132
2/5/2020 16:04,Drinks,12,Rfg Juices/Drinks,19,4123
2/5/2020 18:04,Snacks,16,Crackers,66,3762
2/5/2020 20:04,Drinks,18,Bottled Juices,98,20874
2/5/2020 22:04,Meat products,21,Breakfast Meats,52,5148
2/6/2020 0:04,Dairy Product,2,Milk,7,1330
2/6/2020 2:04,Snacks,16,Crackers,14,798
2/6/2020 4:04,Drinks,5,Beer/Ale/Alcoholic Cider,19,988
2/6/2020 6:04,Drinks,7,Wine,88,25168
2/6/2020 8:04,Grocery,9,Cold Cereal,74,20646
2/6/2020 10:04,Drinks,12,Rfg Juices/Drinks,84,18228
2/6/2020 12:04,Grocery,9,Cold Cereal,91,25389
2/6/2020 14:04,Meat products,20,Luncheon Meats,27,1269
2/6/2020 16:04,Snacks,17,Cookies,82,13694
2/6/2020 18:04,Drinks,18,Bottled Juices,64,13632
2/6/2020 20:04,Drinks,14,Bottled Water,87,15312
2/6/2020 22:04,Drinks,5,Beer/Ale/Alcoholic Cider,5,260
2/7/2020 0:04,Snacks,17,Cookies,58,9686
2/7/2020 2:04,Drinks,15,Soup,96,12672
2/7/2020 4:04,Snacks,10,Cigarettes,66,15510
2/7/2020 6:04,Dairy Product,2,Milk,10,1900
